"course","speed","day","time","lon","lat","seq","way","video_time","USRight","USLeft","USRear","LidarRight","LidarLeft","CO","SO","O3","NO","P10","P25"
238.88,0.97,"210717",2017-07-20 21:05:22,0,0,53,"go",2017-07-20 23:58:42,152.4,50.8,497.84,169,2160,NA,NA,NA,NA,NA,NA
238.88,0.37,"210717",2017-07-20 21:05:23,0,0,54,"go",2017-07-20 23:58:43,192.193333333333,50.8,642.62,533.666666666667,1190.33333333333,784,727,777,829,24.5,22.2
238.46,0.6,"210717",2017-07-20 21:05:24,0,0,55,"go",2017-07-20 23:58:44,585.47,50.8,641.985,635.75,1328.25,785,882,777,622,24.3,22
238.46,0.46,"210717",2017-07-20 21:05:25,0,0,56,"go",2017-07-20 23:58:45,188.806666666667,50.8,635,233.666666666667,944.333333333333,787,755,777,762,24.3,22
238.46,0.16,"210717",2017-07-20 21:05:26,0,0,57,"go",2017-07-20 23:58:46,210.82,50.8,585.046666666667,170.333333333333,1217.33333333333,790,445,775,922,24.2,21.9
238.46,0.3,"210717",2017-07-20 21:05:27,0,0,58,"go",2017-07-20 23:58:47,168.275,50.8,603.25,769.75,685.25,783,842,776,800,24.1,21.8
238.87,0.91,"210717",2017-07-20 21:05:28,0,0,59,"go",2017-07-20 23:58:48,187.113333333333,50.8,641.773333333333,217.333333333333,1642.33333333333,NA,NA,NA,NA,NA,NA
239.05,1.16,"210717",2017-07-20 21:05:29,0,0,60,"go",2017-07-20 23:58:49,166.37,52.705,631.19,182.75,589,783,746,777,830,23.9,21.7
239.05,0.25,"210717",2017-07-20 21:05:30,0,0,61,"go",2017-07-20 23:58:50,248.073333333333,52.4933333333333,575.733333333333,304,1022,783,1019,776,578,23.8,21.6
239.05,0.48,"210717",2017-07-20 21:05:31,0,0,62,"go",2017-07-20 23:58:51,193.886666666667,52.4933333333333,641.773333333333,362,203.333333333333,784,684,777,830,23.7,21.5
239.05,0.55,"210717",2017-07-20 21:05:32,0,0,63,"go",2017-07-20 23:58:52,250.613333333333,52.4933333333333,503.766666666667,423,285.666666666667,786,518,775,866,23.7,21.5
238.76,2.29,"210717",2017-07-20 21:05:33,0,0,64,"go",2017-07-20 23:58:53,397.933333333333,52.4933333333333,436.88,706.333333333333,1052,NA,NA,NA,NA,NA,NA
236.94,0.73,"210717",2017-07-20 21:05:34,0,0,65,"go",2017-07-20 23:58:54,219.075,53.34,622.3,776.75,1,784,823,778,836,23.6,21.4
237.62,0.69,"210717",2017-07-20 21:05:35,0,0,66,"go",2017-07-20 23:58:55,276.86,53.34,517.313333333333,223.666666666667,803.666666666667,788,279,774,1104,23.6,21.4
235.97,0.81,"210717",2017-07-20 21:05:36,0,0,67,"go",2017-07-20 23:58:56,538.48,53.34,640.926666666667,907.666666666667,1000.33333333333,784,941,777,655,23.4,21.2
235.86,1.72,"210717",2017-07-20 21:05:37,0,0,68,"go",2017-07-20 23:58:57,NA,NA,640.926666666667,1387,1348.66666666667,785,724,777,851,23.2,21
233.82,1.75,"210717",2017-07-20 21:05:38,0,0,69,"go",2017-07-20 23:58:58,329.353333333333,53.34,641.773333333333,1376.66666666667,1532.33333333333,NA,NA,NA,NA,NA,NA
234.72,1.49,"210717",2017-07-20 21:05:39,0,0,70,"go",2017-07-20 23:58:59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
233.95,1.41,"210717",2017-07-20 21:05:40,0,0,71,"go",2017-07-20 23:59:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
234.46,1.59,"210717",2017-07-20 21:05:41,0,0,72,"go",2017-07-20 23:59:01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
232.51,1.6,"210717",2017-07-20 21:05:42,0,0,73,"go",2017-07-20 23:59:02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
233.07,3.58,"210717",2017-07-20 21:05:43,0,0,74,"go",2017-07-20 23:59:03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230.11,2.59,"210717",2017-07-20 21:05:44,0,0,75,"go",2017-07-20 23:59:04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230.52,2.93,"210717",2017-07-20 21:05:45,0,0,76,"go",2017-07-20 23:59:05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
232.81,1.56,"210717",2017-07-20 21:05:46,0,0,77,"go",2017-07-20 23:59:06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
235.46,1.38,"210717",2017-07-20 21:05:47,0,0,78,"go",2017-07-20 23:59:07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
234.51,1.78,"210717",2017-07-20 21:05:48,0,0,79,"go",2017-07-20 23:59:08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
234.75,1.51,"210717",2017-07-20 21:05:49,0,0,80,"go",2017-07-20 23:59:09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
233.7,1.81,"210717",2017-07-20 21:05:50,0,0,81,"go",2017-07-20 23:59:10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
233.41,2.42,"210717",2017-07-20 21:05:51,0,0,82,"go",2017-07-20 23:59:11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
237.59,1.33,"210717",2017-07-20 21:05:52,0,0,83,"go",2017-07-20 23:59:12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
234.03,2.02,"210717",2017-07-20 21:05:53,0,0,84,"go",2017-07-20 23:59:13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230.95,3.4,"210717",2017-07-20 21:05:54,0,0,85,"go",2017-07-20 23:59:14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230.03,3.16,"210717",2017-07-20 21:05:55,0,0,86,"go",2017-07-20 23:59:15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230.83,3.58,"210717",2017-07-20 21:05:56,0,0,87,"go",2017-07-20 23:59:16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230.98,4.25,"210717",2017-07-20 21:05:57,0,0,88,"go",2017-07-20 23:59:17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230.59,4.16,"210717",2017-07-20 21:05:58,0,0,89,"go",2017-07-20 23:59:18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
231.69,3.27,"210717",2017-07-20 21:05:59,0,0,90,"go",2017-07-20 23:59:19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
234.71,2.92,"210717",2017-07-20 21:06:00,0,0,91,"go",2017-07-20 23:59:20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
233.24,3.08,"210717",2017-07-20 21:06:01,0,0,92,"go",2017-07-20 23:59:21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
235.56,2.5,"210717",2017-07-20 21:06:02,0,0,93,"go",2017-07-20 23:59:22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
237.29,1.67,"210717",2017-07-20 21:06:03,0,0,94,"go",2017-07-20 23:59:23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
237.51,1.64,"210717",2017-07-20 21:06:04,0,0,95,"go",2017-07-20 23:59:24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
233.41,1.43,"210717",2017-07-20 21:06:05,0,0,96,"go",2017-07-20 23:59:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
233.18,2.58,"210717",2017-07-20 21:06:06,0,0,97,"go",2017-07-20 23:59:26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
231.81,2.3,"210717",2017-07-20 21:06:07,0,0,98,"go",2017-07-20 23:59:27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
234.26,2.2,"210717",2017-07-20 21:06:08,0,0,99,"go",2017-07-20 23:59:28,175.26,53.34,642.62,975.5,1837.5,NA,NA,NA,NA,NA,NA
233.62,1.89,"210717",2017-07-20 21:06:09,0,0,100,"go",2017-07-20 23:59:29,177.8,53.34,640.08,711.5,995.5,782,987,776,600,25.2,20.8
233.46,1.8,"210717",2017-07-20 21:06:10,0,0,101,"go",2017-07-20 23:59:30,179.07,53.34,642.62,984.5,979,NA,NA,NA,NA,NA,NA
233.68,2.02,"210717",2017-07-20 21:06:11,0,0,102,"go",2017-07-20 23:59:31,248.92,54.61,643.89,342,537,785,446,774,1090,25.2,20.6
234.53,2.58,"210717",2017-07-20 21:06:12,0,0,103,"go",2017-07-20 23:59:32,642.62,53.34,633.73,1,1,NA,NA,NA,NA,NA,NA
232.17,2.66,"210717",2017-07-20 21:06:13,0,0,104,"go",2017-07-20 23:59:33,238.76,53.34,642.62,949,1132.5,779,827,777,756,25.7,20.3
232.81,3.13,"210717",2017-07-20 21:06:14,0,0,105,"go",2017-07-20 23:59:34,645.16,54.61,642.62,1027,1972.5,NA,NA,NA,NA,NA,NA
231.79,2.92,"210717",2017-07-20 21:06:15,0,0,106,"go",2017-07-20 23:59:35,640.08,53.34,642.62,422,2014,784,917,776,563,26.2,20.1
233.73,3.03,"210717",2017-07-20 21:06:16,0,0,107,"go",2017-07-20 23:59:36,642.62,53.34,642.62,1,2095,NA,NA,NA,NA,NA,NA
234.63,3.21,"210717",2017-07-20 21:06:17,0,0,108,"go",2017-07-20 23:59:37,173.99,54.61,643.89,1,2403,781,517,775,1100,26.5,20
233.13,3.74,"210717",2017-07-20 21:06:18,0,0,109,"go",2017-07-20 23:59:38,148.59,53.34,642.62,715,1046,NA,NA,NA,NA,NA,NA
234.38,2.69,"210717",2017-07-20 21:06:19,0,0,110,"go",2017-07-20 23:59:39,104.14,53.34,641.35,727.5,1,782,782,777,818,26.7,19.9
