04-10-2017-17-58-30,243.84,0.00,1325,319
04-10-2017-17-58-30,243.84,0.00,1317,328
04-10-2017-17-58-31,243.84,0.00,1328,326
04-10-2017-17-58-31,231.14,0.00,1330,330
04-10-2017-17-58-31,241.30,0.00,1345,345
04-10-2017-17-58-31,241.30,0.00,1349,349
04-10-2017-17-58-31,215.90,0.00,2127,357
04-10-2017-17-58-32,238.76,0.00,1334,404
04-10-2017-17-58-32,218.44,0.00,1335,389
04-10-2017-17-58-32,223.52,0.00,2091,396
04-10-2017-17-58-32,220.98,0.00,2112,400
04-10-2017-17-58-32,226.06,0.00,2085,432
04-10-2017-17-58-33,223.52,0.00,2081,484
04-10-2017-17-58-33,220.98,0.00,1,516
04-10-2017-17-58-33,218.44,0.00,1112,521
04-10-2017-17-58-33,223.52,0.00,1089,516
04-10-2017-17-58-34,233.68,0.00,1101,500
04-10-2017-17-58-34,220.98,0.00,1,498
04-10-2017-17-58-34,226.06,0.00,1100,515
04-10-2017-17-58-34,223.52,0.00,1097,534
04-10-2017-17-58-34,223.52,0.00,1107,541
04-10-2017-17-58-35,215.90,0.00,1114,554
04-10-2017-17-58-35,215.90,0.00,1110,552
04-10-2017-17-58-35,218.44,0.00,1116,536
04-10-2017-17-58-35,226.06,0.00,1094,515
04-10-2017-17-58-36,226.06,0.00,1103,502
04-10-2017-17-58-36,226.06,0.00,1096,507
04-10-2017-17-58-36,228.60,0.00,1106,508
04-10-2017-17-58-36,228.60,0.00,1104,511
04-10-2017-17-58-36,226.06,0.00,1103,516
04-10-2017-17-58-37,226.06,0.00,1104,521
04-10-2017-17-58-37,223.52,0.00,1096,526
04-10-2017-17-58-37,226.06,0.00,1102,526
04-10-2017-17-58-37,226.06,0.00,1106,512
04-10-2017-17-58-38,226.06,0.00,967,493
04-10-2017-17-58-38,233.68,0.00,984,488
04-10-2017-17-58-38,208.28,0.00,981,453
04-10-2017-17-58-38,200.66,0.00,2127,464
04-10-2017-17-58-38,195.58,0.00,2082,477
04-10-2017-17-58-39,175.26,0.00,1,484
04-10-2017-17-58-39,162.56,0.00,1,474
04-10-2017-17-58-39,160.02,0.00,2082,472
04-10-2017-17-58-39,154.94,0.00,1,465
04-10-2017-17-58-39,152.40,0.00,1,451
04-10-2017-17-58-40,149.86,0.00,1,454
04-10-2017-17-58-40,147.32,0.00,1,452
04-10-2017-17-58-40,149.86,0.00,2130,497
04-10-2017-17-58-40,147.32,0.00,1103,518
04-10-2017-17-58-41,177.80,0.00,1108,538
04-10-2017-17-58-41,172.72,0.00,1104,537
04-10-2017-17-58-41,152.40,0.00,1096,524
04-10-2017-17-58-41,147.32,0.00,1098,539
04-10-2017-17-58-41,149.86,0.00,1097,537
04-10-2017-17-58-42,149.86,0.00,1093,518
04-10-2017-17-58-42,144.78,0.00,1102,505
04-10-2017-17-58-42,147.32,0.00,1115,489
04-10-2017-17-58-42,149.86,0.00,1081,493
04-10-2017-17-58-43,233.68,0.00,1116,485
04-10-2017-17-58-43,152.40,0.00,1101,500
04-10-2017-17-58-43,152.40,0.00,1148,495
04-10-2017-17-58-43,147.32,0.00,1,531
04-10-2017-17-58-43,147.32,0.00,870,597
04-10-2017-17-58-44,147.32,0.00,1024,747
04-10-2017-17-58-44,149.86,0.00,1068,985
04-10-2017-17-58-44,154.94,0.00,913,1179
04-10-2017-17-58-44,205.74,0.00,463,1170
04-10-2017-17-58-45,198.12,0.00,459,1
04-10-2017-17-58-45,190.50,0.00,465,1
04-10-2017-17-58-45,182.88,0.00,445,1
04-10-2017-17-58-45,180.34,0.00,860,1
04-10-2017-17-58-45,175.26,0.00,739,1144
04-10-2017-17-58-46,152.40,0.00,190,1130
04-10-2017-17-58-46,175.26,0.00,451,736
04-10-2017-17-58-46,182.88,0.00,936,724
04-10-2017-17-58-46,317.50,0.00,922,813
04-10-2017-17-58-46,317.50,0.00,424,1033
04-10-2017-17-58-47,162.56,0.00,1015,382
04-10-2017-17-58-47,157.48,0.00,183,328
04-10-2017-17-58-47,172.72,0.00,1224,326
04-10-2017-17-58-47,317.50,0.00,358,322
04-10-2017-17-58-48,134.62,0.00,494,982
04-10-2017-17-58-48,134.62,0.00,1111,919
04-10-2017-17-58-48,317.50,0.00,980,818
04-10-2017-17-58-48,317.50,0.00,910,796
04-10-2017-17-58-48,317.50,0.00,948,911
04-10-2017-17-58-49,142.24,0.00,957,1082
04-10-2017-17-58-49,210.82,0.00,423,1131
04-10-2017-17-58-49,195.58,0.00,947,1087
04-10-2017-17-58-49,195.58,0.00,959,949
04-10-2017-17-58-49,157.48,0.00,1,932
04-10-2017-17-58-50,160.02,0.00,1,941
04-10-2017-17-58-50,317.50,0.00,1187,828
04-10-2017-17-58-50,165.10,0.00,1,915
04-10-2017-17-58-50,162.56,0.00,1,910
04-10-2017-17-58-51,165.10,0.00,787,851
04-10-2017-17-58-51,317.50,0.00,1,772
04-10-2017-17-58-51,317.50,0.00,1334,670
04-10-2017-17-58-51,185.42,0.00,1141,727
04-10-2017-17-58-51,190.50,0.00,293,779
04-10-2017-17-58-52,200.66,0.00,1133,1045
04-10-2017-17-58-52,248.92,0.00,264,1134
04-10-2017-17-58-52,215.90,0.00,271,1205
04-10-2017-17-58-52,223.52,0.00,1079,1256
04-10-2017-17-58-52,236.22,0.00,348,1
04-10-2017-17-58-53,256.54,0.00,334,1022
04-10-2017-17-58-53,251.46,0.00,372,1
04-10-2017-17-58-53,256.54,0.00,353,1202
