,USRight,USLeft,USRear,LidarRight,LidarLeft,SO,NO,P10,P25,O3,CO,timestamp,sensor,DateN,TimeN,sequenceTime
1610,15.24,17.78,96.52,136,74,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215240,1610
1611,15.24,17.78,93.98,155,73,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215241,1611
1612,12.7,17.78,91.44,111,76,4095,4095,10.6,9.3,4095,4095,1.90717E+11,proximity,190717,215241,1612
1613,12.7,17.78,96.52,129,69,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215241,1613
1614,12.7,17.78,96.52,1,74,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215241,1614
1615,12.7,17.78,99.06,1,78,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215242,1615
1616,12.7,17.78,91.44,146,73,4095,4095,10.6,9.3,4095,4095,1.90717E+11,proximity,190717,215242,1616
1617,12.7,17.78,96.52,125,71,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215242,1617
1618,12.7,17.78,99.06,137,69,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215242,1618
1619,15.24,17.78,96.52,1,70,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215243,1619
1620,15.24,17.78,93.98,144,73,4095,4095,10.6,9.3,4095,4095,1.90717E+11,proximity,190717,215243,1620
1621,12.7,17.78,93.98,1,69,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215243,1621
1622,15.24,17.78,91.44,1,73,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215244,1622
1623,12.7,17.78,88.9,116,73,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215244,1623
1624,12.7,17.78,88.9,1,73,4095,4095,10.6,9.3,4095,4095,1.90717E+11,proximity,190717,215244,1624
1625,12.7,17.78,88.9,134,76,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215244,1625
1626,15.24,17.78,88.9,127,74,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215244,1626
1627,12.7,17.78,88.9,111,76,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215245,1627
1628,12.7,17.78,86.36,106,78,4095,4095,10.6,9.3,4095,4095,1.90717E+11,proximity,190717,215245,1628
1629,15.24,17.78,88.9,1,78,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215245,1629
1630,12.7,17.78,88.9,132,71,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215246,1630
1631,12.7,17.78,88.9,1,75,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215246,1631
1632,12.7,17.78,86.36,124,72,4095,4095,10.5,9.3,4095,4095,1.90717E+11,proximity,190717,215246,1632
1633,12.7,17.78,91.44,134,71,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215247,1633
1634,15.24,17.78,88.9,1,72,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215247,1634
1635,12.7,17.78,88.9,119,74,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215247,1635
1636,15.24,17.78,91.44,1,76,4095,4095,10.4,9.3,4095,4095,1.90717E+11,proximity,190717,215247,1636
1637,15.24,17.78,96.52,100,76,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215248,1637
1638,12.7,17.78,91.44,76,73,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215248,1638
1639,12.7,17.78,86.36,133,77,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215248,1639
1640,12.7,17.78,93.98,114,73,4095,4095,10.3,9.2,4095,4095,1.90717E+11,proximity,190717,215249,1640
1641,12.7,17.78,93.98,1,72,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215249,1641
1642,15.24,17.78,93.98,141,72,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215249,1642
1643,15.24,17.78,91.44,123,74,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215249,1643
1644,15.24,17.78,91.44,1,76,4095,4095,10.3,9.2,4095,4095,1.90717E+11,proximity,190717,215250,1644
1645,12.7,17.78,96.52,110,73,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215250,1645
1646,15.24,17.78,91.44,1,81,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215250,1646
1647,15.24,17.78,93.98,1,107,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215251,1647
1648,12.7,17.78,91.44,1,392,4095,4095,10.3,9.2,4095,4095,1.90717E+11,proximity,190717,215251,1648
1649,12.7,17.78,86.36,96,397,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215251,1649
1650,15.24,17.78,88.9,1,416,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215251,1650
1651,12.7,17.78,91.44,1,410,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215252,1651
1652,12.7,17.78,91.44,1,407,4095,4095,10.3,9.2,4095,4095,1.90717E+11,proximity,190717,215252,1652
1653,12.7,17.78,88.9,1,416,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215252,1653
1654,12.7,17.78,88.9,650,427,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215252,1654
1655,12.7,17.78,88.9,1,427,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215253,1655
1656,12.7,17.78,88.9,1,415,4095,4095,10.3,9.2,4095,4095,1.90717E+11,proximity,190717,215253,1656
1657,12.7,17.78,86.36,1,421,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215253,1657
