oms_risk,uv_index,altitude,temperature,pressure,humidity,timestamp,sensor,DateN,TimeN,sequenceTime,Time
Low,0.156626508,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214652,96,2017-07-19 21:46:52
Low,0.159303874,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214654,97,2017-07-19 21:46:54
NA,NA,252.875,31.125,98321.25,NA,1.90717E+11,pressure_temperature,190717,214655,98,2017-07-19 21:46:55
NA,NA,NA,NA,NA,69.56448364,1.90717E+11,humidity,190717,214655,99,2017-07-19 21:46:55
Low,0.160642564,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214656,100,2017-07-19 21:46:56
Low,0.155287817,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214658,101,2017-07-19 21:46:58
Low,0.156626508,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214700,102,2017-07-19 21:47:00
NA,NA,252.8125,31.3125,98325,NA,1.90717E+11,pressure_temperature,190717,214700,103,2017-07-19 21:47:00
NA,NA,NA,NA,NA,69.46748352,1.90717E+11,humidity,190717,214700,104,2017-07-19 21:47:00
Low,0.182061583,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214702,105,2017-07-19 21:47:02
Low,0.232931718,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214704,106,2017-07-19 21:47:04
NA,NA,255.875,31.5,98287.5,NA,1.90717E+11,pressure_temperature,190717,214705,107,2017-07-19 21:47:05
NA,NA,NA,NA,NA,70.34116364,1.90717E+11,humidity,190717,214705,108,2017-07-19 21:47:05
Low,0.29986614,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214706,109,2017-07-19 21:47:06
Low,0.322623819,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214708,110,2017-07-19 21:47:08
Low,0.878179371,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214710,111,2017-07-19 21:47:10
NA,NA,256.6875,31.6875,98277.5,NA,1.90717E+11,pressure_temperature,190717,214710,112,2017-07-19 21:47:10
NA,NA,NA,NA,NA,71.66493225,1.90717E+11,humidity,190717,214710,113,2017-07-19 21:47:10
Low,0.409638554,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214712,114,2017-07-19 21:47:12
Low,0.231593043,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214714,115,2017-07-19 21:47:14
NA,NA,255.8125,31.9375,98285,NA,1.90717E+11,pressure_temperature,190717,214715,116,2017-07-19 21:47:15
NA,NA,NA,NA,NA,70.31604004,1.90717E+11,humidity,190717,214715,117,2017-07-19 21:47:15
Low,0.11780455,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214715,118,2017-07-19 21:47:15
Low,0.157965198,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214718,119,2017-07-19 21:47:18
Low,0.127175361,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214720,120,2017-07-19 21:47:20
NA,NA,255.1875,32.0625,98292.25,NA,1.90717E+11,pressure_temperature,190717,214720,121,2017-07-19 21:47:20
NA,NA,NA,NA,NA,70.35581207,1.90717E+11,humidity,190717,214720,122,2017-07-19 21:47:20
Low,0.113788486,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214722,123,2017-07-19 21:47:22
Low,0.065595716,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214724,124,2017-07-19 21:47:24
NA,NA,255.4375,32.1875,98290.5,NA,1.90717E+11,pressure_temperature,190717,214725,125,2017-07-19 21:47:25
NA,NA,NA,NA,NA,69.25255585,1.90717E+11,humidity,190717,214725,126,2017-07-19 21:47:25
Low,0.18875502,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214726,127,2017-07-19 21:47:26
Low,0.278447121,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214728,128,2017-07-19 21:47:28
Low,0.302543491,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214730,129,2017-07-19 21:47:30
NA,NA,257.6875,32.375,98270.75,NA,1.90717E+11,pressure_temperature,190717,214730,130,2017-07-19 21:47:30
NA,NA,NA,NA,NA,70.97129822,1.90717E+11,humidity,190717,214730,131,2017-07-19 21:47:30
Low,0.380187422,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214732,132,2017-07-19 21:47:32
Low,0.542168677,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214734,133,2017-07-19 21:47:34
NA,NA,257.75,32.5625,98267.25,NA,1.90717E+11,pressure_temperature,190717,214735,134,2017-07-19 21:47:35
NA,NA,NA,NA,NA,72.81843567,1.90717E+11,humidity,190717,214735,135,2017-07-19 21:47:35
Low,0.336010695,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214736,136,2017-07-19 21:47:36
Low,0.262382865,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214738,137,2017-07-19 21:47:38
Low,0.253012031,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214740,138,2017-07-19 21:47:40
NA,NA,257.625,32.75,98273.25,NA,1.90717E+11,pressure_temperature,190717,214740,139,2017-07-19 21:47:40
NA,NA,NA,NA,NA,70.91756439,1.90717E+11,humidity,190717,214740,140,2017-07-19 21:47:40
Low,0.232931718,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214742,141,2017-07-19 21:47:42
Low,0.151271746,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214744,142,2017-07-19 21:47:44
NA,NA,253.8125,32.875,98310.5,NA,1.90717E+11,pressure_temperature,190717,214745,143,2017-07-19 21:47:45
NA,NA,NA,NA,NA,70.02644348,1.90717E+11,humidity,190717,214745,144,2017-07-19 21:47:45
Low,0.081659973,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214746,145,2017-07-19 21:47:46
Low,0.061579652,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214748,146,2017-07-19 21:47:48
Low,0.105756357,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214750,147,2017-07-19 21:47:50
NA,NA,253.8125,33.0625,98319,NA,1.90717E+11,pressure_temperature,190717,214750,148,2017-07-19 21:47:50
NA,NA,NA,NA,NA,69.82407379,1.90717E+11,humidity,190717,214750,149,2017-07-19 21:47:50
Low,0.140562251,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214752,150,2017-07-19 21:47:52
Low,0.176706821,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214754,151,2017-07-19 21:47:54
NA,NA,252.6875,33.1875,98327.5,NA,1.90717E+11,pressure_temperature,190717,214755,152,2017-07-19 21:47:55
NA,NA,NA,NA,NA,70.56585693,1.90717E+11,humidity,190717,214755,153,2017-07-19 21:47:55
Low,0.127175361,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214756,154,2017-07-19 21:47:56
Low,0.159303874,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214758,155,2017-07-19 21:47:58
Low,0.310575634,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214800,156,2017-07-19 21:48:00
NA,NA,257.75,33.375,98269,NA,1.90717E+11,pressure_temperature,190717,214800,157,2017-07-19 21:48:00
NA,NA,NA,NA,NA,71.50931549,1.90717E+11,humidity,190717,214800,158,2017-07-19 21:48:00
Low,0.380187422,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214802,159,2017-07-19 21:48:02
Low,0.460508704,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214804,160,2017-07-19 21:48:04
NA,NA,258.625,33.625,98255.25,NA,1.90717E+11,pressure_temperature,190717,214805,161,2017-07-19 21:48:05
NA,NA,NA,NA,NA,73.02708435,1.90717E+11,humidity,190717,214805,162,2017-07-19 21:48:05
Low,0.369477898,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214806,163,2017-07-19 21:48:06
Low,0.356091022,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214808,164,2017-07-19 21:48:08
Low,0.368139207,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214810,165,2017-07-19 21:48:10
