,long,course,lat,speed,day,utc_time
289,8423.3461,228.5,3346.6137,3.2,190717,215009
290,8423.3468,225.74,3346.6122,3.59,190717,215010
291,8423.3476,223.19,3346.6089,4.89,190717,215011
292,8423.348,220.82,3346.6067,5.3,190717,215012
293,8423.3487,218.62,3346.6046,5.56,190717,215013
294,8423.3496,216.67,3346.6025,5.87,190717,215014
295,8423.3506,214.97,3346.6009,5.94,190717,215015
296,8423.3514,213.45,3346.599,6.14,190717,215016
297,8423.3515,212.02,3346.5965,6.37,190717,215017
298,8423.3492,210.49,3346.5933,6.61,190717,215018
299,8423.3477,208.87,3346.5903,6.89,190717,215019
300,8423.3474,207.24,3346.5875,7.34,190717,215020
301,8423.3471,205.64,3346.5835,8.1,190717,215021
302,8423.3434,184.46,3346.5771,9.01,190717,215022
303,8423.3431,183.64,3346.573,9.65,190717,215023
304,8423.3427,183.83,3346.5688,10.25,190717,215024
305,8423.3427,184.87,3346.5644,11.07,190717,215025
306,8423.3428,185.99,3346.56,11.5,190717,215026
307,8423.342,187.36,3346.5559,10.77,190717,215027
308,8423.3418,185.14,3346.5521,10.74,190717,215028
309,8423.3415,184.62,3346.5481,10.93,190717,215029
310,8423.3407,182.67,3346.5442,11.45,190717,215030
311,8423.3407,180.83,3346.5401,12.69,190717,215031
312,8423.3406,179.97,3346.5362,12.64,190717,215032
313,8423.3403,180.1,3346.5323,12.25,190717,215033
314,8423.3395,180.43,3346.5284,11.8,190717,215034
315,8423.3394,180.91,3346.525,10.75,190717,215035
316,8423.3393,181.14,3346.5216,10.21,190717,215036
317,8423.3393,180.37,3346.5186,9.79,190717,215037
318,8423.3396,178.78,3346.5138,9.74,190717,215038
319,8423.3394,178.19,3346.5105,10.44,190717,215039
320,8423.3395,177.47,3346.5072,9.16,190717,215040
321,8423.3397,177.81,3346.5044,8.76,190717,215041
322,8423.3396,178.74,3346.5016,8.43,190717,215042
323,8423.3398,185.09,3346.4991,8.78,190717,215043
324,8423.3406,192.91,3346.4964,11.28,190717,215044
325,8423.3411,193.22,3346.4933,12.43,190717,215045
326,8423.3415,191.15,3346.4902,12.43,190717,215046
327,8423.3414,190.56,3346.487,11.52,190717,215047
328,8423.341,178.78,3346.4843,9.94,190717,215048
329,8423.3407,180.45,3346.4817,9.31,190717,215049
330,8423.3404,179.66,3346.4795,8.46,190717,215050
331,8423.34,180.5,3346.4771,8.45,190717,215051
332,8423.3395,181.15,3346.4746,8.52,190717,215052
333,8423.3388,180.83,3346.472,8.95,190717,215053
334,8423.3387,182.27,3346.4697,9.02,190717,215054
335,8423.3384,184.42,3346.4672,9.02,190717,215055
336,8423.3375,180.78,3346.4645,8.99,190717,215056
337,8423.3371,181.81,3346.4618,9.25,190717,215057
338,8423.3363,181.76,3346.4593,9.97,190717,215058
339,8423.3358,181.21,3346.4572,9.63,190717,215059
340,8423.3355,182.77,3346.4552,9.56,190717,215100
341,8423.3355,183.07,3346.4536,8.46,190717,215101
342,8423.3354,183.47,3346.4517,8.03,190717,215102
343,8423.3348,184.64,3346.4494,8.81,190717,215103
344,8423.3345,183.96,3346.447,8.02,190717,215104
345,8423.3342,183.57,3346.4448,7.72,190717,215105
346,8423.3339,183.18,3346.4426,7.65,190717,215106
347,8423.333,172.36,3346.4402,8.01,190717,215107
348,8423.3328,173.21,3346.4382,8.71,190717,215108
349,8423.3323,174.34,3346.4357,10.61,190717,215109
350,8423.3318,175.02,3346.4334,10.79,190717,215110
351,8423.3314,177.5,3346.431,10.26,190717,215111
352,8423.3309,172.26,3346.4288,9.14,190717,215112
353,8423.3304,172.44,3346.427,8.33,190717,215113
354,8423.3302,174.94,3346.4253,7.66,190717,215114
355,8423.3305,184.23,3346.4262,3.24,190717,215115
356,8423.331,192.51,3346.4253,3.25,190717,215116
357,8423.331,191.65,3346.4241,3.43,190717,215117
358,8423.3309,190.18,3346.4228,4.16,190717,215118
359,8423.331,189.19,3346.4213,4.97,190717,215119
360,8423.3311,186.32,3346.4198,5.55,190717,215120
361,8423.3315,185.28,3346.4183,5.36,190717,215121
362,8423.3315,183.27,3346.4166,5.79,190717,215122
363,8423.3316,181.8,3346.4152,5.17,190717,215123
364,8423.3317,181.79,3346.4137,5.18,190717,215124
365,8423.3318,182.07,3346.4121,5.12,190717,215125
366,8423.3319,182.52,3346.4106,4.94,190717,215126
367,8423.3317,182.57,3346.4092,5.39,190717,215127
368,8423.3322,182.99,3346.4078,5.34,190717,215128
369,8423.3336,182.45,3346.406,5.31,190717,215129
370,8423.3335,180.69,3346.4046,5.1,190717,215130
371,8423.3327,170.79,3346.4029,5.87,190717,215131
