"","long","course","lat","speed","day","utc_time","DateN","TimeN","Time","sequenceTime"
"638","08423.1125","186.22","3346.1879","8.13","200717",1345,"1345","",NA,638
"639","08423.1128","186.08","3346.1857","9.01","200717",1346,"1346","",NA,639
"640","08423.1129","185.80","3346.1831","10.32","200717",1347,"1347","",NA,640
"641","08423.1132","184.46","3346.1802","10.77","200717",1348,"1348","",NA,641
"642","08423.1135","184.24","3346.1768","11.84","200717",1349,"1349","",NA,642
"643","08423.1132","171.79","3346.1731","14.54","200717",1350,"1350","",NA,643
"644","08423.1112","154.25","3346.1692","17.42","200717",1351,"1351","",NA,644
"645","08423.1111","177.29","3346.1657","12.52","200717",1352,"1352","",NA,645
"646","08423.1113","175.20","3346.1623","12.78","200717",1353,"1353","",NA,646
"647","08423.1113","175.92","3346.1592","10.66","200717",1354,"1354","",NA,647
"648","08423.1117","177.11","3346.1564","9.62","200717",1355,"1355","",NA,648
"649","08423.1125","179.39","3346.1539","8.92","200717",1356,"1356","",NA,649
"650","08423.1136","181.67","3346.1515","8.97","200717",1357,"1357","",NA,650
"651","08423.1147","183.34","3346.1490","8.93","200717",1358,"1358","",NA,651
"652","08423.1155","185.65","3346.1461","9.32","200717",1359,"1359","",NA,652
"653","08423.1157","187.02","3346.1428","9.78","200717",1400,"1400","",NA,653
"654","08423.1160","187.70","3346.1396","10.16","200717",1401,"1401","",NA,654
"655","08423.1168","187.71","3346.1368","10.92","200717",1402,"1402","",NA,655
"656","08423.1169","186.56","3346.1339","11.46","200717",1403,"1403","",NA,656
"657","08423.1164","184.97","3346.1305","11.42","200717",1404,"1404","",NA,657
"658","08423.1158","183.45","3346.1271","10.92","200717",1405,"1405","",NA,658
"659","08423.1155","183.31","3346.1243","9.12","200717",1406,"1406","",NA,659
"660","08423.1148","182.58","3346.1216","8.12","200717",1407,"1407","",NA,660
"661","08423.1143","182.88","3346.1192","6.96","200717",1408,"1408","",NA,661
"662","08423.1141","184.10","3346.1174","5.28","200717",1409,"1409","",NA,662
"663","08423.1141","184.68","3346.1157","5.89","200717",1410,"1410","",NA,663
"664","08423.1141","185.03","3346.1138","6.43","200717",1411,"1411","",NA,664
"665","08423.1143","185.72","3346.1120","6.38","200717",1412,"1412","",NA,665
"666","08423.1147","186.19","3346.1102","6.35","200717",1413,"1413","",NA,666
"667","08423.1154","185.47","3346.1086","6.97","200717",1414,"1414","",NA,667
"668","08423.1162","185.48","3346.1067","7.72","200717",1415,"1415","",NA,668
"669","08423.1170","185.33","3346.1046","8.23","200717",1416,"1416","",NA,669
"670","08423.1176","185.76","3346.1024","7.65","200717",1417,"1417","",NA,670
"671","08423.1181","185.83","3346.1000","8.66","200717",1418,"1418","",NA,671
"672","08423.1185","185.11","3346.0975","8.86","200717",1419,"1419","",NA,672
"673","08423.1188","184.85","3346.0947","10.05","200717",1420,"1420","",NA,673
"674","08423.1191","184.59","3346.0917","10.96","200717",1421,"1421","",NA,674
"675","08423.1194","183.93","3346.0886","11.20","200717",1422,"1422","",NA,675
"676","08423.1196","184.29","3346.0853","11.18","200717",1423,"1423","",NA,676
"677","08423.1198","184.56","3346.0819","11.64","200717",1424,"1424","",NA,677
"678","08423.1200","184.35","3346.0785","11.97","200717",1425,"1425","",NA,678
"679","08423.1202","184.77","3346.0751","12.16","200717",1426,"1426","",NA,679
"680","08423.1203","183.60","3346.0717","12.40","200717",1427,"1427","",NA,680
"681","08423.1203","182.31","3346.0683","12.16","200717",1428,"1428","",NA,681
"682","08423.1208","182.86","3346.0654","10.62","200717",1429,"1429","",NA,682
