long,course,lat,speed,day,utc_time,Time
8423.8829,268.42,3346.8867,9.63,200717,14053,2017-07-20 14:05:03
8423.8862,268.07,3346.8868,9.46,200717,14054,2017-07-20 14:05:04
8423.8895,270.63,3346.8868,8.97,200717,14055,2017-07-20 14:05:05
8423.8928,272.2,3346.8869,9.16,200717,14056,2017-07-20 14:05:06
8423.8959,272.33,3346.887,8.88,200717,14057,2017-07-20 14:05:07
8423.8988,271.32,3346.8869,8.62,200717,14058,2017-07-20 14:05:08
8423.9018,270.41,3346.8868,8.28,200717,14059,2017-07-20 14:05:09
8423.9048,277.18,3346.8869,8.86,200717,14100,2017-07-20 14:10:00
8423.908,276.42,3346.8872,8.88,200717,14101,2017-07-20 14:10:01
8423.9113,274.91,3346.8873,8.51,200717,14102,2017-07-20 14:10:02
8423.9148,274.39,3346.8873,8.07,200717,14103,2017-07-20 14:10:03
8423.9177,273.49,3346.8871,8.05,200717,14104,2017-07-20 14:10:04
8423.9206,270.04,3346.8869,7.22,200717,14105,2017-07-20 14:10:05
8423.9232,268.85,3346.8868,7.46,200717,14106,2017-07-20 14:10:06
8423.926,267.65,3346.8866,7.96,200717,14107,2017-07-20 14:10:07
8423.9287,268.07,3346.8866,7.68,200717,14108,2017-07-20 14:10:08
8423.9311,268.23,3346.8867,7.14,200717,14109,2017-07-20 14:10:09
8423.9334,268.98,3346.8868,6.95,200717,14110,2017-07-20 14:11:00
8423.9355,266.82,3346.8869,6.1,200717,14111,2017-07-20 14:11:01
8423.9376,256,3346.8866,6.31,200717,14112,2017-07-20 14:11:02
8423.9395,251.15,3346.8861,5.96,200717,14113,2017-07-20 14:11:03
8423.9414,253.01,3346.8859,5.38,200717,14114,2017-07-20 14:11:04
8423.942,260.88,3346.8873,6.08,200717,14115,2017-07-20 14:11:05
8423.9425,355.97,3346.8892,7.49,200717,14116,2017-07-20 14:11:06
8423.9427,355.09,3346.8914,7.91,200717,14117,2017-07-20 14:11:07
8423.9431,353.27,3346.8941,9.71,200717,14118,2017-07-20 14:11:08
8423.9434,355.7,3346.897,10.72,200717,14119,2017-07-20 14:11:09
8423.9436,358.07,3346.9,10.75,200717,14120,2017-07-20 14:12:00
8423.9439,356.19,3346.9027,9.44,200717,14121,2017-07-20 14:12:01
8423.9441,1.85,3346.9053,8.96,200717,14122,2017-07-20 14:12:02
8423.944,0.56,3346.9078,8.9,200717,14123,2017-07-20 14:12:03
8423.944,2.88,3346.9102,8.25,200717,14124,2017-07-20 14:12:04
8423.9437,4.45,3346.9125,8.43,200717,14125,2017-07-20 14:12:05
8423.9436,6.07,3346.9149,8.48,200717,14126,2017-07-20 14:12:06
8423.9434,4.59,3346.9173,8.48,200717,14127,2017-07-20 14:12:07
8423.9433,5.84,3346.9196,8.19,200717,14128,2017-07-20 14:12:08
8423.943,5.96,3346.9219,8.16,200717,14129,2017-07-20 14:12:09
8423.9426,6.77,3346.9241,7.96,200717,14130,2017-07-20 14:13:00
8423.942,6.97,3346.9264,7.88,200717,14131,2017-07-20 14:13:01
8423.9415,7.08,3346.9287,7.68,200717,14132,2017-07-20 14:13:02
8423.9412,6.01,3346.9311,7.75,200717,14133,2017-07-20 14:13:03
8423.9412,4.56,3346.9335,7.94,200717,14134,2017-07-20 14:13:04
8423.9411,3.99,3346.9357,7.93,200717,14135,2017-07-20 14:13:05
8423.9409,2.6,3346.9401,7.91,200717,14137,2017-07-20 14:13:07
8423.9409,358.37,3346.9423,7.94,200717,14138,2017-07-20 14:13:08
8423.9409,358.28,3346.9444,7.89,200717,14139,2017-07-20 14:13:09
8423.9409,1.85,3346.9466,7.71,200717,14140,2017-07-20 14:14:00
8423.9407,3.44,3346.9487,7.53,200717,14141,2017-07-20 14:14:01
8423.9403,1.68,3346.9507,7.33,200717,14142,2017-07-20 14:14:02
8423.9403,0.76,3346.9528,7.91,200717,14143,2017-07-20 14:14:03
8423.9402,359.7,3346.9551,8.37,200717,14144,2017-07-20 14:14:04
8423.9402,0.36,3346.9576,9.5,200717,14145,2017-07-20 14:14:05
8423.94,1.53,3346.9604,9.8,200717,14146,2017-07-20 14:14:06
8423.9401,353.74,3346.9631,9.83,200717,14147,2017-07-20 14:14:07
8423.9411,334.55,3346.9656,8.74,200717,14148,2017-07-20 14:14:08
8423.943,314.79,3346.9677,8.94,200717,14149,2017-07-20 14:14:09
8423.9456,299.51,3346.9692,9.3,200717,14150,2017-07-20 14:15:00
8423.949,271.83,3346.9695,10.53,200717,14151,2017-07-20 14:15:01
8423.9524,262.59,3346.9693,9.96,200717,14152,2017-07-20 14:15:02
8423.956,264.32,3346.9691,9.55,200717,14153,2017-07-20 14:15:03
8423.9592,264.85,3346.969,9.14,200717,14154,2017-07-20 14:15:04
8423.9622,265.83,3346.9689,8.06,200717,14155,2017-07-20 14:15:05
8423.9648,267.37,3346.969,7.24,200717,14156,2017-07-20 14:15:06
8423.9673,277.64,3346.9692,7.02,200717,14157,2017-07-20 14:15:07
8423.9699,277.29,3346.9695,7.28,200717,14158,2017-07-20 14:15:08
8423.9726,279.76,3346.9699,7.31,200717,14159,2017-07-20 14:15:09
